"","ColonyID","afdw_mg_cm2","Species","Phenotype","Year"
"1","3",5.090397398,"Montipora capitata","Susceptible","2021"
"2","4",5.778590816,"Montipora capitata","Resistant","2021"
"3","11",3.771594435,"Montipora capitata","Susceptible","2021"
"4","12",5.444161132,"Montipora capitata","Resistant","2021"
"5","19",2.710048378,"Montipora capitata","Susceptible","2021"
"6","20",5.01545403,"Montipora capitata","Resistant","2021"
"7","26",5.972236506,"Porites compressa","Susceptible","2021"
"8","27",5.54076824,"Porites compressa","Resistant","2021"
"9","41",9.151151956,"Porites compressa","Susceptible","2021"
"10","43",5.85885759,"Porites compressa","Susceptible","2021"
"11","44",8.046335699,"Porites compressa","Resistant","2021"
"12","45",6.226937758,"Porites compressa","Susceptible","2021"
"13","46",6.907738386,"Porites compressa","Resistant","2021"
"14","201",NA,"Montipora capitata","Susceptible","2021"
"15","202",4.607231919,"Montipora capitata","Resistant","2021"
"16","203",4.966508322,"Montipora capitata","Susceptible","2021"
"17","204",5.454872233,"Montipora capitata","Resistant","2021"
"18","209",2.126007135,"Montipora capitata","Susceptible","2021"
"19","210",6.084334928,"Montipora capitata","Resistant","2021"
"20","211",3.783564092,"Montipora capitata","Susceptible","2021"
"21","212",5.463101921,"Montipora capitata","Resistant","2021"
"22","219",5.428739478,"Montipora capitata","Susceptible","2021"
"23","220",4.893885394,"Montipora capitata","Resistant","2021"
"24","221",4.529491246,"Montipora capitata","Susceptible","2021"
"25","222",3.278429444,"Montipora capitata","Resistant","2021"
"26","237",8.546353473,"Porites compressa","Susceptible","2021"
"27","238",10.14145785,"Porites compressa","Resistant","2021"
"28","240",5.932479331,"Porites compressa","Resistant","2021"
"29","243",7.543898262,"Porites compressa","Susceptible","2021"
"30","244",7.507412156,"Porites compressa","Resistant","2021"
"31","247",7.751712644,"Porites compressa","Susceptible","2021"
"32","248",7.878371249,"Porites compressa","Resistant","2021"
"33","3",1.285660773,"Montipora capitata","Susceptible","2019"
"34","4",1.603971492,"Montipora capitata","Resistant","2019"
"35","11",1.526894724,"Montipora capitata","Susceptible","2019"
"36","12",3.337166504,"Montipora capitata","Resistant","2019"
"37","19",1.945845154,"Montipora capitata","Susceptible","2019"
"38","20",2.949114094,"Montipora capitata","Resistant","2019"
"39","26",5.013051755,"Porites compressa","Resistant","2019"
"40","27",3.701397078,"Porites compressa","Susceptible","2019"
"41","35",7.811002383,"Porites compressa","Susceptible","2019"
"42","36",2.262178763,"Porites compressa","Resistant","2019"
"43","41",6.763817075,"Porites compressa","Susceptible","2019"
"44","42",2.144088964,"Porites compressa","Resistant","2019"
"45","43",3.256593325,"Porites compressa","Susceptible","2019"
"46","44",7.914312222,"Porites compressa","Resistant","2019"
"47","45",1.762629698,"Porites compressa","Susceptible","2019"
"48","46",2.299639826,"Porites compressa","Resistant","2019"
"49","201",2.949119227,"Montipora capitata","Susceptible","2019"
"50","202",1.887787271,"Montipora capitata","Resistant","2019"
"51","203",3.240469428,"Montipora capitata","Susceptible","2019"
"52","204",2.601044682,"Montipora capitata","Resistant","2019"
"53","209",1.69130014,"Montipora capitata","Susceptible","2019"
"54","210",3.383015317,"Montipora capitata","Resistant","2019"
"55","211",2.069464367,"Montipora capitata","Susceptible","2019"
"56","212",0.447803103,"Montipora capitata","Resistant","2019"
"57","217",2.828013628,"Montipora capitata","Susceptible","2019"
"58","218",1.309742742,"Montipora capitata","Resistant","2019"
"59","219",1.250536189,"Montipora capitata","Susceptible","2019"
"60","220",2.381935486,"Montipora capitata","Resistant","2019"
"61","221",1.599204416,"Montipora capitata","Susceptible","2019"
"62","222",2.17234648,"Montipora capitata","Resistant","2019"
"63","229",2.744551508,"Porites compressa","Susceptible","2019"
"64","230",2.270261654,"Porites compressa","Resistant","2019"
"65","237",3.146935496,"Porites compressa","Susceptible","2019"
"66","238",4.247446109,"Porites compressa","Resistant","2019"
"67","239",8.055447648,"Porites compressa","Susceptible","2019"
"68","240",3.161637579,"Porites compressa","Resistant","2019"
"69","243",1.322198604,"Porites compressa","Susceptible","2019"
"70","244",2.735113267,"Porites compressa","Resistant","2019"
"71","247",4.250382662,"Porites compressa","Susceptible","2019"
