Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
1371995,10/10/25 8:10:05,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.252,μmol/L,18.855,°C,1018.000,hPa,Humid,35,0,,0,21.610,78201,177152.07,20.65,30.79,#N/A
1372001,10/10/25 8:10:09,0.051,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.230,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.606,78200,177144.04,20.65,30.79,#N/A
1372007,10/10/25 8:10:12,0.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.376,μmol/L,18.850,°C,1018.000,hPa,Humid,35,0,,0,21.606,78216,177130.73,20.65,30.79,#N/A
1372016,10/10/25 8:10:15,0.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.428,μmol/L,18.855,°C,1018.000,hPa,Humid,35,0,,0,21.602,78204,177124.04,20.65,30.79,#N/A
1372026,10/10/25 8:10:18,0.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.515,μmol/L,18.858,°C,1018.000,hPa,Humid,35,0,,0,21.597,78184,177112.60,20.65,30.79,#N/A
1372036,10/10/25 8:10:21,0.252,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.306,μmol/L,18.865,°C,1018.000,hPa,Humid,35,0,,0,21.604,78200,177109.20,20.65,30.79,#N/A
1372045,10/10/25 8:10:24,0.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.189,μmol/L,18.860,°C,1018.000,hPa,Humid,35,0,,0,21.611,78230,177107.89,20.65,30.79,#N/A
1372055,10/10/25 8:10:27,0.351,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.271,μmol/L,18.873,°C,1018.000,hPa,Humid,35,0,,0,21.603,78206,177113.16,20.65,30.79,#N/A
1372065,10/10/25 8:10:30,0.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.603,μmol/L,18.852,°C,1018.000,hPa,Humid,35,0,,0,21.595,78194,177105.11,20.65,30.79,#N/A
1372076,10/10/25 8:10:33,0.452,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.619,μmol/L,18.862,°C,1018.000,hPa,Humid,35,0,,0,21.591,78155,177095.10,20.65,30.79,#N/A
1372083,10/10/25 8:10:36,0.501,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.855,μmol/L,18.840,°C,1018.000,hPa,Humid,35,0,,0,21.588,78156,177094.13,20.65,30.79,#N/A
1372095,10/10/25 8:10:39,0.551,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.421,μmol/L,18.871,°C,1018.000,hPa,Humid,35,0,,0,21.597,78179,177078.56,20.65,30.79,#N/A
1372104,10/10/25 8:10:42,0.601,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.679,μmol/L,18.869,°C,1018.000,hPa,Humid,35,0,,0,21.586,78148,177070.32,20.65,30.79,#N/A
1372115,10/10/25 8:10:45,0.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.891,μmol/L,18.855,°C,1018.000,hPa,Humid,35,0,,0,21.581,78136,177074.02,20.65,30.79,#N/A
1372125,10/10/25 8:10:48,0.702,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.936,μmol/L,18.864,°C,1018.000,hPa,Humid,35,0,,0,21.576,78098,177068.78,20.65,30.79,#N/A
1372133,10/10/25 8:10:51,0.751,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.046,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.569,78080,177056.32,20.65,30.79,#N/A
1372144,10/10/25 8:10:54,0.801,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.281,μmol/L,18.848,°C,1018.000,hPa,Humid,35,0,,0,21.566,78071,177060.14,20.65,30.79,#N/A
1372154,10/10/25 8:10:57,0.851,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.732,μmol/L,18.889,°C,1018.000,hPa,Humid,35,0,,0,21.577,78078,177058.05,20.65,30.79,#N/A
1372165,10/10/25 8:11:00,0.901,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.065,μmol/L,18.859,°C,1018.000,hPa,Humid,35,0,,0,21.572,78087,177053.33,20.65,30.79,#N/A
1372176,10/10/25 8:11:03,0.952,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.034,μmol/L,18.857,°C,1018.000,hPa,Humid,35,0,,0,21.574,78087,177050.56,20.65,30.79,#N/A
1372185,10/10/25 8:11:06,1.002,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.964,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.573,78057,177046.06,20.65,30.79,#N/A
1372193,10/10/25 8:11:09,1.051,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.283,μmol/L,18.851,°C,1018.000,hPa,Humid,35,0,,0,21.565,78043,177048.99,20.65,30.79,#N/A
1372205,10/10/25 8:11:12,1.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.236,μmol/L,18.860,°C,1018.000,hPa,Humid,35,0,,0,21.564,78034,177045.60,20.65,30.79,#N/A
1372216,10/10/25 8:11:15,1.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.156,μmol/L,18.874,°C,1018.000,hPa,Humid,35,0,,0,21.563,78033,177033.96,20.65,30.79,#N/A
1372225,10/10/25 8:11:18,1.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.947,μmol/L,18.857,°C,1018.000,hPa,Humid,35,0,,0,21.578,78094,177031.87,20.65,30.79,#N/A
1372235,10/10/25 8:11:21,1.252,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.943,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.571,78068,177041.62,20.65,30.79,#N/A
1372244,10/10/25 8:11:24,1.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,242.915,μmol/L,18.888,°C,1018.000,hPa,Humid,35,0,,0,21.569,78049,177036.12,20.65,30.79,#N/A
1372256,10/10/25 8:11:27,1.351,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.216,μmol/L,18.872,°C,1018.000,hPa,Humid,35,0,,0,21.561,78028,177025.88,20.65,30.79,#N/A
1372266,10/10/25 8:11:30,1.401,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.376,μmol/L,18.871,°C,1018.000,hPa,Humid,35,0,,0,21.554,78005,177032.43,20.65,30.79,#N/A
1372275,10/10/25 8:11:33,1.451,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.173,μmol/L,18.860,°C,1018.000,hPa,Humid,35,0,,0,21.567,77992,177016.94,20.65,30.79,#N/A
1372285,10/10/25 8:11:36,1.502,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.282,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.556,77993,177014.23,20.65,30.79,#N/A
1372294,10/10/25 8:11:39,1.551,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.307,μmol/L,18.880,°C,1018.000,hPa,Humid,35,0,,0,21.554,77981,177017.88,20.65,30.79,#N/A
1372306,10/10/25 8:11:42,1.601,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.437,μmol/L,18.875,°C,1018.000,hPa,Humid,35,0,,0,21.550,77961,177011.13,20.65,30.79,#N/A
1372316,10/10/25 8:11:45,1.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.523,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.545,77940,177009.83,20.65,30.79,#N/A
1372325,10/10/25 8:11:48,1.701,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.725,μmol/L,18.866,°C,1018.000,hPa,Humid,35,0,,0,21.540,77918,177000.03,20.65,30.79,#N/A
1372335,10/10/25 8:11:51,1.752,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.611,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.544,77917,177005.17,20.65,30.79,#N/A
1372344,10/10/25 8:11:54,1.801,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.639,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.540,77904,176999.61,20.65,30.79,#N/A
1372354,10/10/25 8:11:57,1.851,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.634,μmol/L,18.884,°C,1018.000,hPa,Humid,35,0,,0,21.538,77902,176994.78,20.65,30.79,#N/A
1372366,10/10/25 8:12:00,1.901,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.996,μmol/L,18.860,°C,1018.000,hPa,Humid,35,0,,0,21.530,77881,177008.15,20.65,30.79,#N/A
1372376,10/10/25 8:12:03,1.952,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.725,μmol/L,18.884,°C,1018.000,hPa,Humid,35,0,,0,21.534,77873,176993.13,20.65,30.79,#N/A
1372385,10/10/25 8:12:06,2.002,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.858,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.530,77869,176989.64,20.65,30.79,#N/A
1372394,10/10/25 8:12:09,2.051,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.986,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.527,77851,176991.64,20.65,30.79,#N/A
1372406,10/10/25 8:12:12,2.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.860,μmol/L,18.890,°C,1018.000,hPa,Humid,35,0,,0,21.526,77838,176982.64,20.65,30.79,#N/A
1372415,10/10/25 8:12:15,2.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.039,μmol/L,18.884,°C,1018.000,hPa,Humid,35,0,,0,21.520,77833,176985.02,20.65,30.79,#N/A
1372425,10/10/25 8:12:18,2.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.844,μmol/L,18.886,°C,1018.000,hPa,Humid,35,0,,0,21.528,77837,176980.81,20.65,30.79,#N/A
1372436,10/10/25 8:12:21,2.252,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,243.906,μmol/L,18.872,°C,1018.000,hPa,Humid,35,0,,0,21.530,77822,176979.78,20.65,30.79,#N/A
1372443,10/10/25 8:12:24,2.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.117,μmol/L,18.877,°C,1018.000,hPa,Humid,35,0,,0,21.519,77807,176978.19,20.65,30.79,#N/A
1372454,10/10/25 8:12:27,2.351,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.085,μmol/L,18.881,°C,1018.000,hPa,Humid,35,0,,0,21.519,77805,176977.30,20.65,30.79,#N/A
1372466,10/10/25 8:12:30,2.401,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.200,μmol/L,18.869,°C,1018.000,hPa,Humid,35,0,,0,21.518,77795,176973.34,20.65,30.79,#N/A
1372476,10/10/25 8:12:33,2.452,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.003,μmol/L,18.901,°C,1018.000,hPa,Humid,35,0,,0,21.516,77785,176971.67,20.65,30.79,#N/A
1372486,10/10/25 8:12:36,2.502,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.296,μmol/L,18.874,°C,1018.000,hPa,Humid,35,0,,0,21.512,77764,176969.99,20.65,30.79,#N/A
1372493,10/10/25 8:12:39,2.551,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.456,μmol/L,18.873,°C,1018.000,hPa,Humid,35,0,,0,21.505,77759,176973.47,20.65,30.79,#N/A
1372504,10/10/25 8:12:42,2.601,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.315,μmol/L,18.874,°C,1018.000,hPa,Humid,35,0,,0,21.511,77765,176959.53,20.65,30.79,#N/A
1372516,10/10/25 8:12:45,2.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.345,μmol/L,18.882,°C,1018.000,hPa,Humid,35,0,,0,21.507,77764,176957.10,20.65,30.79,#N/A
1372526,10/10/25 8:12:48,2.702,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.217,μmol/L,18.887,°C,1018.000,hPa,Humid,35,0,,0,21.511,77749,176964.11,20.65,30.79,#N/A
1372536,10/10/25 8:12:51,2.752,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.304,μmol/L,18.885,°C,1018.000,hPa,Humid,35,0,,0,21.508,77737,176967.38,20.65,30.79,#N/A
1372544,10/10/25 8:12:54,2.801,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.416,μmol/L,18.870,°C,1018.000,hPa,Humid,35,0,,0,21.508,77748,176964.85,20.65,30.79,#N/A
1372554,10/10/25 8:12:57,2.851,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.270,μmol/L,18.895,°C,1018.000,hPa,Humid,35,0,,0,21.506,77738,176963.47,20.65,30.79,#N/A
1372565,10/10/25 8:13:00,2.901,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.373,μmol/L,18.867,°C,1018.000,hPa,Humid,35,0,,0,21.511,77735,176966.63,20.65,30.79,#N/A
1372574,10/10/25 8:13:03,2.951,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.450,μmol/L,18.889,°C,1018.000,hPa,Humid,35,0,,0,21.500,77733,176959.25,20.65,30.79,#N/A
1372584,10/10/25 8:13:06,3.002,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.462,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.503,77716,176962.79,20.65,30.79,#N/A
1372593,10/10/25 8:13:09,3.051,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.385,μmol/L,18.886,°C,1018.000,hPa,Humid,35,0,,0,21.504,77717,176953.52,20.65,30.79,#N/A
1372605,10/10/25 8:13:12,3.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.248,μmol/L,18.886,°C,1018.000,hPa,Humid,35,0,,0,21.510,77727,176952.24,20.65,30.79,#N/A
1372614,10/10/25 8:13:15,3.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.334,μmol/L,18.889,°C,1018.000,hPa,Humid,35,0,,0,21.505,77725,176949.94,20.65,30.79,#N/A
1372625,10/10/25 8:13:18,3.201,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.380,μmol/L,18.877,°C,1018.000,hPa,Humid,35,0,,0,21.507,77722,176957.21,20.65,30.79,#N/A
1372635,10/10/25 8:13:21,3.252,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.032,μmol/L,18.897,°C,1018.000,hPa,Humid,35,0,,0,21.516,77730,176956.35,20.65,30.79,#N/A
1372644,10/10/25 8:13:24,3.302,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.439,μmol/L,18.873,°C,1018.000,hPa,Humid,35,0,,0,21.506,77721,176963.19,20.65,30.79,#N/A
1372653,10/10/25 8:13:27,3.351,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.316,μmol/L,18.877,°C,1018.000,hPa,Humid,35,0,,0,21.510,77695,176954.59,20.65,30.79,#N/A
1372664,10/10/25 8:13:30,3.401,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.253,μmol/L,18.888,°C,1018.000,hPa,Humid,35,0,,0,21.509,77694,176953.69,20.65,30.79,#N/A
1372676,10/10/25 8:13:33,3.451,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.329,μmol/L,18.890,°C,1018.000,hPa,Humid,35,0,,0,21.505,77689,176948.10,20.65,30.79,#N/A
1372685,10/10/25 8:13:36,3.502,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.324,μmol/L,18.879,°C,1018.000,hPa,Humid,35,0,,0,21.509,77666,176953.63,20.65,30.79,#N/A
1372696,10/10/25 8:13:39,3.552,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.372,μmol/L,18.879,°C,1018.000,hPa,Humid,35,0,,0,21.507,77660,176960.29,20.65,30.79,#N/A
1372703,10/10/25 8:13:42,3.601,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.453,μmol/L,18.877,°C,1019.000,hPa,Humid,35,0,,0,21.504,77665,176961.67,20.65,30.79,#N/A
1372714,10/10/25 8:13:45,3.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.508,μmol/L,18.881,°C,1018.000,hPa,Humid,35,0,,0,21.500,77653,176962.32,20.65,30.79,#N/A
1372724,10/10/25 8:13:48,3.701,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.278,μmol/L,18.897,°C,1018.000,hPa,Humid,35,0,,0,21.505,77661,176955.04,20.65,30.79,#N/A
1372736,10/10/25 8:13:51,3.752,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.154,μmol/L,18.898,°C,1018.000,hPa,Humid,35,0,,0,21.510,77697,176960.72,20.65,30.79,#N/A
1372746,10/10/25 8:13:54,3.802,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.083,μmol/L,18.887,°C,1018.000,hPa,Humid,35,0,,0,21.517,77705,176967.35,20.65,30.79,#N/A
1372755,10/10/25 8:13:57,3.851,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.166,μmol/L,18.888,°C,1018.000,hPa,Humid,35,0,,0,21.513,77678,176968.92,20.65,30.79,#N/A
1372764,10/10/25 8:14:00,3.901,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.252,μmol/L,18.889,°C,1019.000,hPa,Humid,35,0,,0,21.509,77657,176957.29,20.65,30.79,#N/A
1372773,10/10/25 8:14:03,3.951,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.313,μmol/L,18.886,°C,1018.000,hPa,Humid,35,0,,0,21.507,77647,176962.09,20.65,30.79,#N/A
1372785,10/10/25 8:14:06,4.002,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.425,μmol/L,18.871,°C,1018.000,hPa,Humid,35,0,,0,21.507,77629,176965.20,20.65,30.79,#N/A
1372794,10/10/25 8:14:09,4.052,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.413,μmol/L,18.891,°C,1018.000,hPa,Humid,35,0,,0,21.501,77630,176968.11,20.65,30.79,#N/A
1372803,10/10/25 8:14:12,4.101,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.397,μmol/L,18.881,°C,1018.000,hPa,Humid,35,0,,0,21.505,77629,176967.33,20.65,30.79,#N/A
1372813,10/10/25 8:14:15,4.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.552,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.499,77613,176967.58,20.65,30.79,#N/A
1372824,10/10/25 8:14:18,4.202,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.588,μmol/L,18.892,°C,1018.000,hPa,Humid,35,0,,0,21.493,77596,176976.41,20.65,30.79,#N/A
1372834,10/10/25 8:14:21,4.251,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.562,μmol/L,18.883,°C,1018.000,hPa,Humid,35,0,,0,21.497,77582,176968.37,20.65,30.79,#N/A
1372845,10/10/25 8:14:24,4.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.721,μmol/L,18.868,°C,1018.000,hPa,Humid,35,0,,0,21.495,77575,176971.79,20.65,30.79,#N/A
1372856,10/10/25 8:14:27,4.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.692,μmol/L,18.890,°C,1018.000,hPa,Humid,35,0,,0,21.489,77575,176973.91,20.65,30.79,#N/A
1372864,10/10/25 8:14:30,4.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.526,μmol/L,18.900,°C,1018.000,hPa,Humid,35,0,,0,21.493,77567,176982.07,20.65,30.79,#N/A
1372875,10/10/25 8:14:33,4.451,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.681,μmol/L,18.900,°C,1018.000,hPa,Humid,35,0,,0,21.486,77562,176975.85,20.65,30.79,#N/A
1372883,10/10/25 8:14:36,4.501,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.648,μmol/L,18.898,°C,1018.000,hPa,Humid,35,0,,0,21.488,77543,176970.23,20.65,30.79,#N/A
1372893,10/10/25 8:14:39,4.552,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.834,μmol/L,18.881,°C,1019.000,hPa,Humid,35,0,,0,21.486,77536,176979.60,20.65,30.79,#N/A
1372905,10/10/25 8:14:42,4.602,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.761,μmol/L,18.878,°C,1018.000,hPa,Humid,35,0,,0,21.490,77541,176985.99,20.65,30.79,#N/A
1372915,10/10/25 8:14:45,4.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.817,μmol/L,18.882,°C,1018.000,hPa,Humid,35,0,,0,21.486,77538,176989.24,20.65,30.79,#N/A
1372924,10/10/25 8:14:48,4.701,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.722,μmol/L,18.889,°C,1018.000,hPa,Humid,35,0,,0,21.488,77533,176990.70,20.65,30.79,#N/A
1372933,10/10/25 8:14:51,4.751,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.664,μmol/L,18.899,°C,1018.000,hPa,Humid,35,0,,0,21.487,77546,176991.42,20.65,30.79,#N/A
1372944,10/10/25 8:14:54,4.802,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.807,μmol/L,18.880,°C,1018.000,hPa,Humid,35,0,,0,21.487,77569,176996.17,20.65,30.79,#N/A
1372954,10/10/25 8:14:57,4.852,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.565,μmol/L,18.877,°C,1018.000,hPa,Humid,35,0,,0,21.499,77601,176998.82,20.65,30.79,#N/A
1372965,10/10/25 8:15:00,4.901,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.455,μmol/L,18.885,°C,1018.000,hPa,Humid,35,0,,0,21.501,77599,176993.76,20.65,30.79,#N/A
1372973,10/10/25 8:15:03,4.951,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.787,μmol/L,18.874,°C,1018.000,hPa,Humid,35,0,,0,21.490,77597,177006.83,20.65,30.79,#N/A
1372983,10/10/25 8:15:06,5.001,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.614,μmol/L,18.888,°C,1018.000,hPa,Humid,35,0,,0,21.493,77584,177017.18,20.65,30.79,#N/A
1372994,10/10/25 8:15:09,5.052,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.522,μmol/L,18.891,°C,1018.000,hPa,Humid,35,0,,0,21.496,77601,177004.83,20.65,30.79,#N/A
1373003,10/10/25 8:15:12,5.102,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.702,μmol/L,18.885,°C,1018.000,hPa,Humid,35,0,,0,21.490,77583,177010.86,20.65,30.79,#N/A
1373016,10/10/25 8:15:15,5.151,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.786,μmol/L,18.892,°C,1018.000,hPa,Humid,35,0,,0,21.484,77568,177009.65,20.65,30.79,#N/A
1373023,10/10/25 8:15:18,5.201,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.924,μmol/L,18.880,°C,1018.000,hPa,Humid,35,0,,0,21.482,77562,177011.78,20.65,30.79,#N/A
1373034,10/10/25 8:15:21,5.251,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.877,μmol/L,18.875,°C,1019.000,hPa,Humid,35,0,,0,21.486,77578,177012.24,20.65,30.79,#N/A
1373043,10/10/25 8:15:24,5.301,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.777,μmol/L,18.890,°C,1018.000,hPa,Humid,35,0,,0,21.485,77567,177023.30,20.65,30.79,#N/A
1373056,10/10/25 8:15:27,5.352,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,245.003,μmol/L,18.884,°C,1018.000,hPa,Humid,35,0,,0,21.477,77570,177021.04,20.65,30.79,#N/A
1373065,10/10/25 8:15:30,5.402,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.856,μmol/L,18.886,°C,1018.000,hPa,Humid,35,0,,0,21.483,77570,177019.49,20.65,30.79,#N/A
1373074,10/10/25 8:15:33,5.451,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.949,μmol/L,18.882,°C,1018.000,hPa,Humid,35,0,,0,21.480,77562,177012.37,20.65,30.79,#N/A
1373085,10/10/25 8:15:36,5.501,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.884,μmol/L,18.885,°C,1018.000,hPa,Humid,35,0,,0,21.482,77561,177017.66,20.65,30.79,#N/A
1373096,10/10/25 8:15:39,5.551,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.796,μmol/L,18.891,°C,1018.000,hPa,Humid,35,0,,0,21.484,77574,177016.69,20.65,30.79,#N/A
1373105,10/10/25 8:15:42,5.602,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.944,μmol/L,18.874,°C,1018.000,hPa,Humid,35,0,,0,21.483,77587,177026.94,20.65,30.79,#N/A
1373115,10/10/25 8:15:45,5.651,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.659,μmol/L,18.895,°C,1019.000,hPa,Humid,35,0,,0,21.489,77578,177012.07,20.65,30.79,#N/A
1373124,10/10/25 8:15:48,5.701,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.837,μmol/L,18.876,°C,1018.000,hPa,Humid,35,0,,0,21.487,77569,177020.54,20.65,30.79,#N/A
1373135,10/10/25 8:15:51,5.751,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.887,μmol/L,18.879,°C,1018.000,hPa,Humid,35,0,,0,21.484,77569,177030.64,20.65,30.79,#N/A
1373144,10/10/25 8:15:54,5.801,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.839,μmol/L,18.894,°C,1018.000,hPa,Humid,35,0,,0,21.481,77564,177025.76,20.65,30.79,#N/A
1373155,10/10/25 8:15:57,5.852,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.889,μmol/L,18.884,°C,1018.000,hPa,Humid,35,0,,0,21.482,77562,177026.99,20.65,30.79,#N/A
1373164,10/10/25 8:16:00,5.902,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.842,μmol/L,18.879,°C,1018.000,hPa,Humid,35,0,,0,21.486,77564,177025.58,20.65,30.79,#N/A
1373176,10/10/25 8:16:03,5.951,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.791,μmol/L,18.903,°C,1018.000,hPa,Humid,35,0,,0,21.480,77549,177035.61,20.65,30.79,#N/A
1373186,10/10/25 8:16:06,6.001,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,244.725,μmol/L,18.894,°C,1018.000,hPa,Humid,35,0,,0,21.486,77570,177037.15,20.65,30.79,#N/A
