Id,Date,Delta T [min],Sensor,Calibration,User,Oxygen,Oxygen Unit,Temperature,Temperature Unit,Pressure,Pressure Unit,Mode,Salinity [pmil],User Signal Intensity,Error,Error Code,Phase [°],Amplitude [µV],Reference Amplitude [µV],Signal LED Current,Reference LED Current,Battery [V]
127056,17/9/23 7:50:20,0.000,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,194.268,μmol/L,26.902,°C,1019.000,hPa,Humid,35,0,,0,22.361,131109,211430.71,18.20,29.44,#N/A
127058,17/9/23 7:50:23,0.043,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,193.527,μmol/L,26.899,°C,1019.000,hPa,Humid,35,0,,0,22.405,131351,211424.39,18.20,29.44,#N/A
127060,17/9/23 7:50:26,0.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.786,μmol/L,26.902,°C,1019.000,hPa,Humid,35,0,,0,22.447,131571,211422.17,18.20,29.44,#N/A
127064,17/9/23 7:50:29,0.143,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,192.345,μmol/L,26.876,°C,1019.000,hPa,Humid,35,0,,0,22.482,131779,211434.03,18.20,29.44,#N/A
127071,17/9/23 7:50:32,0.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.673,μmol/L,26.877,°C,1019.000,hPa,Humid,35,0,,0,22.521,131986,211426.51,18.20,29.44,#N/A
127076,17/9/23 7:50:35,0.243,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,191.134,μmol/L,26.893,°C,1019.000,hPa,Humid,35,0,,0,22.547,132160,211420.09,18.20,29.44,#N/A
127086,17/9/23 7:50:38,0.293,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,190.907,μmol/L,26.886,°C,1019.000,hPa,Humid,35,0,,0,22.563,132266,211404.52,18.20,29.44,#N/A
127095,17/9/23 7:50:41,0.344,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,190.495,μmol/L,26.881,°C,1019.000,hPa,Humid,35,0,,0,22.589,132396,211409.61,18.20,29.44,#N/A
127104,17/9/23 7:50:44,0.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,190.306,μmol/L,26.893,°C,1019.000,hPa,Humid,35,0,,0,22.596,132451,211414.67,18.20,29.44,#N/A
127116,17/9/23 7:50:47,0.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,190.033,μmol/L,26.882,°C,1019.000,hPa,Humid,35,0,,0,22.616,132528,211402.13,18.20,29.44,#N/A
127127,17/9/23 7:50:50,0.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,189.932,μmol/L,26.877,°C,1019.000,hPa,Humid,35,0,,0,22.624,132560,211394.69,18.20,29.44,#N/A
127133,17/9/23 7:50:53,0.544,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,189.622,μmol/L,26.892,°C,1019.000,hPa,Humid,35,0,,0,22.637,132634,211393.50,18.20,29.44,#N/A
127147,17/9/23 7:50:56,0.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,189.535,μmol/L,26.864,°C,1019.000,hPa,Humid,35,0,,0,22.652,132717,211379.29,18.20,29.44,#N/A
127157,17/9/23 7:50:59,0.644,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,189.198,μmol/L,26.870,°C,1019.000,hPa,Humid,35,0,,0,22.670,132790,211383.91,18.20,29.44,#N/A
127163,17/9/23 7:51:02,0.693,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,189.070,μmol/L,26.872,°C,1019.000,hPa,Humid,35,0,,0,22.677,132840,211373.84,18.20,29.44,#N/A
127175,17/9/23 7:51:05,0.744,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.900,μmol/L,26.858,°C,1019.000,hPa,Humid,35,0,,0,22.692,132937,211383.58,18.20,29.44,#N/A
127186,17/9/23 7:51:08,0.794,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.863,μmol/L,26.850,°C,1019.000,hPa,Humid,35,0,,0,22.697,132951,211372.19,18.20,29.44,#N/A
127195,17/9/23 7:51:11,0.843,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.474,μmol/L,26.871,°C,1019.000,hPa,Humid,35,0,,0,22.713,133024,211366.05,18.20,29.44,#N/A
127205,17/9/23 7:51:14,0.893,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.347,μmol/L,26.856,°C,1019.000,hPa,Humid,35,0,,0,22.726,133088,211371.72,18.20,29.44,#N/A
127215,17/9/23 7:51:17,0.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.120,μmol/L,26.863,°C,1019.000,hPa,Humid,35,0,,0,22.737,133116,211351.12,18.20,29.44,#N/A
127226,17/9/23 7:51:20,0.994,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.076,μmol/L,26.859,°C,1019.000,hPa,Humid,35,0,,0,22.741,133162,211353.64,18.20,29.44,#N/A
127236,17/9/23 7:51:23,1.044,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.024,μmol/L,26.848,°C,1019.000,hPa,Humid,35,0,,0,22.748,133184,211349.88,18.20,29.44,#N/A
127243,17/9/23 7:51:26,1.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,188.025,μmol/L,26.837,°C,1019.000,hPa,Humid,35,0,,0,22.752,133209,211343.58,18.20,29.44,#N/A
127253,17/9/23 7:51:29,1.143,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.834,μmol/L,26.849,°C,1019.000,hPa,Humid,35,0,,0,22.759,133241,211338.23,18.20,29.44,#N/A
127266,17/9/23 7:51:32,1.193,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.626,μmol/L,26.859,°C,1019.000,hPa,Humid,35,0,,0,22.768,133258,211330.48,18.20,29.44,#N/A
127277,17/9/23 7:51:35,1.244,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.698,μmol/L,26.833,°C,1019.000,hPa,Humid,35,0,,0,22.773,133295,211320.51,18.20,29.44,#N/A
127285,17/9/23 7:51:38,1.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.626,μmol/L,26.828,°C,1019.000,hPa,Humid,35,0,,0,22.779,133339,211318.96,18.20,29.44,#N/A
127294,17/9/23 7:51:41,1.343,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.407,μmol/L,26.835,°C,1019.000,hPa,Humid,35,0,,0,22.790,133368,211310.03,18.20,29.44,#N/A
127306,17/9/23 7:51:44,1.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.297,μmol/L,26.831,°C,1019.000,hPa,Humid,35,0,,0,22.798,133407,211320.01,18.20,29.44,#N/A
127315,17/9/23 7:51:47,1.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.405,μmol/L,26.826,°C,1019.000,hPa,Humid,35,0,,0,22.793,133395,211301.42,18.20,29.44,#N/A
127323,17/9/23 7:51:50,1.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.299,μmol/L,26.833,°C,1019.000,hPa,Humid,35,0,,0,22.797,133380,211295.84,18.20,29.44,#N/A
127333,17/9/23 7:51:53,1.544,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.265,μmol/L,26.828,°C,1019.000,hPa,Humid,35,0,,0,22.801,133388,211293.90,18.20,29.44,#N/A
127344,17/9/23 7:51:56,1.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.308,μmol/L,26.809,°C,1019.000,hPa,Humid,35,0,,0,22.805,133497,211280.76,18.20,29.44,#N/A
127353,17/9/23 7:51:59,1.643,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,187.066,μmol/L,26.831,°C,1019.000,hPa,Humid,35,0,,0,22.812,133272,211276.54,18.20,29.44,#N/A
127366,17/9/23 7:52:02,1.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.943,μmol/L,26.826,°C,1019.000,hPa,Humid,35,0,,0,22.821,133290,211272.10,18.20,29.44,#N/A
127374,17/9/23 7:52:05,1.743,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.853,μmol/L,26.828,°C,1019.000,hPa,Humid,35,0,,0,22.826,133314,211276.44,18.20,29.44,#N/A
127385,17/9/23 7:52:08,1.793,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.744,μmol/L,26.829,°C,1019.000,hPa,Humid,35,0,,0,22.832,133326,211259.40,18.20,29.44,#N/A
127395,17/9/23 7:52:11,1.844,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.715,μmol/L,26.826,°C,1019.000,hPa,Humid,35,0,,0,22.835,133347,211264.32,18.20,29.44,#N/A
127407,17/9/23 7:52:14,1.894,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.642,μmol/L,26.833,°C,1019.000,hPa,Humid,35,0,,0,22.837,133337,211259.86,18.20,29.44,#N/A
127413,17/9/23 7:52:17,1.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.733,μmol/L,26.814,°C,1019.000,hPa,Humid,35,0,,0,22.838,133350,211259.56,18.20,29.44,#N/A
127427,17/9/23 7:52:20,1.993,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.672,μmol/L,26.813,°C,1019.000,hPa,Humid,35,0,,0,22.842,133361,211246.73,18.20,29.44,#N/A
127437,17/9/23 7:52:23,2.043,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.722,μmol/L,26.796,°C,1019.000,hPa,Humid,35,0,,0,22.845,133364,211249.07,18.20,29.44,#N/A
127446,17/9/23 7:52:26,2.093,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.734,μmol/L,26.797,°C,1019.000,hPa,Humid,35,0,,0,22.844,133373,211235.00,18.20,29.44,#N/A
127455,17/9/23 7:52:29,2.144,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.460,μmol/L,26.813,°C,1019.000,hPa,Humid,35,0,,0,22.855,133383,211235.23,18.20,29.44,#N/A
127467,17/9/23 7:52:32,2.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.476,μmol/L,26.810,°C,1019.000,hPa,Humid,35,0,,0,22.855,133408,211222.87,18.20,29.44,#N/A
127473,17/9/23 7:52:35,2.243,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.550,μmol/L,26.801,°C,1019.000,hPa,Humid,35,0,,0,22.854,133417,211212.99,18.20,29.44,#N/A
127484,17/9/23 7:52:38,2.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.408,μmol/L,26.797,°C,1019.000,hPa,Humid,35,0,,0,22.864,133438,211211.51,18.20,29.44,#N/A
127493,17/9/23 7:52:41,2.344,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.425,μmol/L,26.799,°C,1019.000,hPa,Humid,35,0,,0,22.862,133456,211206.41,18.20,29.44,#N/A
127506,17/9/23 7:52:44,2.393,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.344,μmol/L,26.791,°C,1019.000,hPa,Humid,35,0,,0,22.870,133455,211205.09,18.20,29.44,#N/A
127513,17/9/23 7:52:47,2.443,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.323,μmol/L,26.794,°C,1019.000,hPa,Humid,35,0,,0,22.870,133462,211190.35,18.20,29.44,#N/A
127525,17/9/23 7:52:50,2.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.201,μmol/L,26.795,°C,1019.000,hPa,Humid,35,0,,0,22.877,133463,211195.77,18.20,29.44,#N/A
127537,17/9/23 7:52:53,2.544,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.308,μmol/L,26.783,°C,1019.000,hPa,Humid,35,0,,0,22.875,133461,211186.41,18.20,29.44,#N/A
127545,17/9/23 7:52:56,2.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.205,μmol/L,26.806,°C,1019.000,hPa,Humid,35,0,,0,22.873,133439,211178.32,18.20,29.44,#N/A
127555,17/9/23 7:52:59,2.644,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.296,μmol/L,26.779,°C,1019.000,hPa,Humid,35,0,,0,22.877,133451,211181.31,18.20,29.44,#N/A
127567,17/9/23 7:53:02,2.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.380,μmol/L,26.770,°C,1019.000,hPa,Humid,35,0,,0,22.875,133463,211166.86,18.20,29.44,#N/A
127575,17/9/23 7:53:05,2.743,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.264,μmol/L,26.785,°C,1019.000,hPa,Humid,35,0,,0,22.877,133475,211156.43,18.20,29.44,#N/A
127584,17/9/23 7:53:08,2.794,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.319,μmol/L,26.775,°C,1019.000,hPa,Humid,35,0,,0,22.877,133430,211148.46,18.20,29.44,#N/A
127595,17/9/23 7:53:11,2.844,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.310,μmol/L,26.765,°C,1019.000,hPa,Humid,35,0,,0,22.881,133431,211152.43,18.20,29.44,#N/A
127604,17/9/23 7:53:14,2.893,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.193,μmol/L,26.777,°C,1019.000,hPa,Humid,35,0,,0,22.884,133437,211132.47,18.20,29.44,#N/A
127617,17/9/23 7:53:17,2.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.138,μmol/L,26.781,°C,1019.000,hPa,Humid,35,0,,0,22.886,133452,211147.49,18.20,29.44,#N/A
127624,17/9/23 7:53:20,2.994,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.202,μmol/L,26.761,°C,1019.000,hPa,Humid,35,0,,0,22.889,133456,211133.42,18.20,29.44,#N/A
127635,17/9/23 7:53:23,3.043,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.176,μmol/L,26.760,°C,1019.000,hPa,Humid,35,0,,0,22.891,133465,211125.34,18.20,29.44,#N/A
127646,17/9/23 7:53:26,3.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.042,μmol/L,26.778,°C,1019.000,hPa,Humid,35,0,,0,22.893,133462,211125.40,18.20,29.44,#N/A
127653,17/9/23 7:53:29,3.144,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.041,μmol/L,26.769,°C,1019.000,hPa,Humid,35,0,,0,22.896,133454,211117.62,18.20,29.44,#N/A
127666,17/9/23 7:53:32,3.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.102,μmol/L,26.762,°C,1019.000,hPa,Humid,35,0,,0,22.895,133456,211111.49,18.20,29.44,#N/A
127673,17/9/23 7:53:35,3.244,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.051,μmol/L,26.768,°C,1019.000,hPa,Humid,35,0,,0,22.896,133453,211110.42,18.20,29.44,#N/A
127684,17/9/23 7:53:38,3.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.046,μmol/L,26.757,°C,1019.000,hPa,Humid,35,0,,0,22.900,133436,211094.36,18.20,29.44,#N/A
127696,17/9/23 7:53:41,3.344,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.098,μmol/L,26.754,°C,1019.000,hPa,Humid,35,0,,0,22.898,133440,211096.74,18.20,29.44,#N/A
127707,17/9/23 7:53:44,3.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.932,μmol/L,26.768,°C,1019.000,hPa,Humid,35,0,,0,22.903,133436,211095.95,18.20,29.44,#N/A
127717,17/9/23 7:53:47,3.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,185.946,μmol/L,26.763,°C,1019.000,hPa,Humid,35,0,,0,22.904,133428,211083.77,18.20,29.44,#N/A
127724,17/9/23 7:53:50,3.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.010,μmol/L,26.761,°C,1019.000,hPa,Humid,35,0,,0,22.901,133428,211083.26,18.20,29.44,#N/A
127733,17/9/23 7:53:53,3.543,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.084,μmol/L,26.748,°C,1019.000,hPa,Humid,35,0,,0,22.901,133412,211072.90,18.20,29.44,#N/A
127744,17/9/23 7:53:56,3.593,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.070,μmol/L,26.739,°C,1019.000,hPa,Humid,35,0,,0,22.905,133399,211064.55,18.20,29.44,#N/A
127757,17/9/23 7:53:59,3.643,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.086,μmol/L,26.745,°C,1019.000,hPa,Humid,35,0,,0,22.902,133401,211061.38,18.20,29.44,#N/A
127764,17/9/23 7:54:02,3.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.104,μmol/L,26.736,°C,1019.000,hPa,Humid,35,0,,0,22.904,133398,211056.73,18.20,29.44,#N/A
127774,17/9/23 7:54:05,3.744,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.046,μmol/L,26.749,°C,1019.000,hPa,Humid,35,0,,0,22.903,133386,211047.13,18.20,29.44,#N/A
127784,17/9/23 7:54:08,3.794,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.043,μmol/L,26.752,°C,1019.000,hPa,Humid,35,0,,0,22.902,133369,211049.28,18.20,29.44,#N/A
127793,17/9/23 7:54:11,3.843,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.164,μmol/L,26.731,°C,1019.000,hPa,Humid,35,0,,0,22.902,133354,211039.13,18.20,29.44,#N/A
127803,17/9/23 7:54:14,3.893,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.142,μmol/L,26.743,°C,1019.000,hPa,Humid,35,0,,0,22.899,133343,211026.60,18.20,29.44,#N/A
127815,17/9/23 7:54:17,3.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.125,μmol/L,26.738,°C,1019.000,hPa,Humid,35,0,,0,22.902,133333,211032.54,18.20,29.44,#N/A
127824,17/9/23 7:54:20,3.994,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.175,μmol/L,26.732,°C,1019.000,hPa,Humid,35,0,,0,22.901,133322,211024.66,18.20,29.44,#N/A
127836,17/9/23 7:54:23,4.044,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.162,μmol/L,26.740,°C,1019.000,hPa,Humid,35,0,,0,22.899,133316,211022.76,18.20,29.44,#N/A
127847,17/9/23 7:54:26,4.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.169,μmol/L,26.733,°C,1019.000,hPa,Humid,35,0,,0,22.901,133312,211021.32,18.20,29.44,#N/A
127856,17/9/23 7:54:29,4.144,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.320,μmol/L,26.716,°C,1019.000,hPa,Humid,35,0,,0,22.898,133301,211003.43,18.20,29.44,#N/A
127866,17/9/23 7:54:32,4.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.186,μmol/L,26.742,°C,1019.000,hPa,Humid,35,0,,0,22.897,133305,211007.53,18.20,29.44,#N/A
127873,17/9/23 7:54:35,4.244,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.219,μmol/L,26.730,°C,1019.000,hPa,Humid,35,0,,0,22.899,133289,211005.54,18.20,29.44,#N/A
127886,17/9/23 7:54:38,4.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.247,μmol/L,26.709,°C,1019.000,hPa,Humid,35,0,,0,22.905,133291,211003.34,18.20,29.44,#N/A
127897,17/9/23 7:54:41,4.343,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.206,μmol/L,26.733,°C,1019.000,hPa,Humid,35,0,,0,22.899,133274,210996.57,18.20,29.44,#N/A
127905,17/9/23 7:54:44,4.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.074,μmol/L,26.744,°C,1019.000,hPa,Humid,35,0,,0,22.903,133271,210999.44,18.20,29.44,#N/A
127915,17/9/23 7:54:47,4.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.241,μmol/L,26.718,°C,1019.000,hPa,Humid,35,0,,0,22.902,133250,210979.06,18.20,29.44,#N/A
127924,17/9/23 7:54:50,4.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.217,μmol/L,26.719,°C,1019.000,hPa,Humid,35,0,,0,22.903,133234,210971.42,18.20,29.44,#N/A
127935,17/9/23 7:54:53,4.544,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.253,μmol/L,26.716,°C,1019.000,hPa,Humid,35,0,,0,22.902,133222,210961.57,18.20,29.44,#N/A
127944,17/9/23 7:54:56,4.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.346,μmol/L,26.709,°C,1019.000,hPa,Humid,35,0,,0,22.899,133220,210965.04,18.20,29.44,#N/A
127955,17/9/23 7:54:59,4.644,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.312,μmol/L,26.703,°C,1019.000,hPa,Humid,35,0,,0,22.903,133220,210958.89,18.20,29.44,#N/A
127964,17/9/23 7:55:02,4.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.263,μmol/L,26.717,°C,1019.000,hPa,Humid,35,0,,0,22.901,133202,210951.94,18.20,29.44,#N/A
127974,17/9/23 7:55:05,4.744,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.236,μmol/L,26.710,°C,1019.000,hPa,Humid,35,0,,0,22.905,133199,210948.87,18.20,29.44,#N/A
127987,17/9/23 7:55:08,4.794,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.459,μmol/L,26.692,°C,1019.000,hPa,Humid,35,0,,0,22.898,133187,210940.09,18.20,29.44,#N/A
127995,17/9/23 7:55:11,4.844,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.346,μmol/L,26.711,°C,1019.000,hPa,Humid,35,0,,0,22.898,133173,210946.33,18.20,29.44,#N/A
128003,17/9/23 7:55:14,4.893,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.413,μmol/L,26.697,°C,1019.000,hPa,Humid,35,0,,0,22.899,133159,210941.97,18.20,29.44,#N/A
128013,17/9/23 7:55:17,4.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.508,μmol/L,26.686,°C,1019.000,hPa,Humid,35,0,,0,22.897,133164,210932.10,18.20,29.44,#N/A
128023,17/9/23 7:55:20,4.994,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.304,μmol/L,26.716,°C,1019.000,hPa,Humid,35,0,,0,22.899,133144,210920.92,18.20,29.44,#N/A
128035,17/9/23 7:55:23,5.044,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.407,μmol/L,26.701,°C,1019.000,hPa,Humid,35,0,,0,22.898,133134,210911.48,18.20,29.44,#N/A
128046,17/9/23 7:55:26,5.094,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.453,μmol/L,26.696,°C,1019.000,hPa,Humid,35,0,,0,22.897,133113,210910.70,18.20,29.44,#N/A
128057,17/9/23 7:55:29,5.144,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.437,μmol/L,26.696,°C,1019.000,hPa,Humid,35,0,,0,22.898,133097,210905.27,18.20,29.44,#N/A
128067,17/9/23 7:55:32,5.194,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.560,μmol/L,26.677,°C,1019.000,hPa,Humid,35,0,,0,22.897,133100,210904.65,18.20,29.44,#N/A
128073,17/9/23 7:55:35,5.244,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.571,μmol/L,26.684,°C,1019.000,hPa,Humid,35,0,,0,22.894,133083,210906.40,18.20,29.44,#N/A
128087,17/9/23 7:55:38,5.294,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.500,μmol/L,26.696,°C,1019.000,hPa,Humid,35,0,,0,22.894,133054,210892.17,18.20,29.44,#N/A
128094,17/9/23 7:55:41,5.344,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.514,μmol/L,26.688,°C,1019.000,hPa,Humid,35,0,,0,22.896,133037,210890.99,18.20,29.44,#N/A
128106,17/9/23 7:55:44,5.394,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.623,μmol/L,26.689,°C,1019.000,hPa,Humid,35,0,,0,22.889,133012,210880.10,18.20,29.44,#N/A
128115,17/9/23 7:55:47,5.444,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.573,μmol/L,26.689,°C,1019.000,hPa,Humid,35,0,,0,22.892,133013,210880.52,18.20,29.44,#N/A
128126,17/9/23 7:55:50,5.494,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.574,μmol/L,26.692,°C,1019.000,hPa,Humid,35,0,,0,22.891,132998,210877.40,18.20,29.44,#N/A
128137,17/9/23 7:55:53,5.543,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.627,μmol/L,26.677,°C,1019.000,hPa,Humid,35,0,,0,22.893,132995,210868.62,18.20,29.44,#N/A
128146,17/9/23 7:55:56,5.594,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.582,μmol/L,26.685,°C,1019.000,hPa,Humid,35,0,,0,22.893,132984,210869.62,18.20,29.44,#N/A
128154,17/9/23 7:55:59,5.644,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.612,μmol/L,26.686,°C,1019.000,hPa,Humid,35,0,,0,22.891,132967,210857.36,18.20,29.44,#N/A
128163,17/9/23 7:56:02,5.694,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.627,μmol/L,26.686,°C,1019.000,hPa,Humid,35,0,,0,22.890,132956,210854.26,18.20,29.44,#N/A
128177,17/9/23 7:56:05,5.743,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.629,μmol/L,26.688,°C,1019.000,hPa,Humid,35,0,,0,22.889,132946,210850.92,18.20,29.44,#N/A
128185,17/9/23 7:56:08,5.793,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.735,μmol/L,26.679,°C,1019.000,hPa,Humid,35,0,,0,22.886,132931,210843.32,18.20,29.44,#N/A
128195,17/9/23 7:56:11,5.844,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.768,μmol/L,26.676,°C,1019.000,hPa,Humid,35,0,,0,22.885,132910,210848.15,18.20,29.44,#N/A
128204,17/9/23 7:56:14,5.894,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.867,μmol/L,26.659,°C,1019.000,hPa,Humid,35,0,,0,22.885,132890,210818.99,18.20,29.44,#N/A
128213,17/9/23 7:56:17,5.944,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.743,μmol/L,26.683,°C,1019.000,hPa,Humid,35,0,,0,22.884,132886,210828.36,18.20,29.44,#N/A
128223,17/9/23 7:56:20,5.994,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.777,μmol/L,26.680,°C,1019.000,hPa,Humid,35,0,,0,22.883,132880,210816.92,18.20,29.44,#N/A
128233,17/9/23 7:56:23,6.044,Sensors!A2:F2,'Oxygen Calibrations'!A2:T2,default,186.784,μmol/L,26.681,°C,1019.000,hPa,Humid,35,0,,0,22.882,132861,210818.67,18.20,29.44,#N/A
